Dimension Index,Top-Activating Contexts,Context Activations
56,"[[7595, 532, 770, 1499, 318, 18876, 416, 663, 2292, 355, 262], [357, 49513, 828, 543, 318, 4073, 416, 29824, 3623, 25037, 287], [1973, 262, 7403, 11, 318, 4481, 48971, 12545, 416, 19613, 198], [3112, 286, 2940, 17551, 318, 1100, 416, 262, 15501, 37064, 564], [383, 10044, 1118, 32466, 318, 7256, 284, 4302, 1582, 5042, 286]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 15.596718788146973, 3.6259617805480957, 0.0, 0.8159297704696655, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.243247985839844, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.18709659576416, 0.7840063571929932, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.082727432250977, 2.010349750518799, 0.33567437529563904, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 12.743514060974121, 3.1685800552368164, 0.0, 0.0, 0.0, 0.0]]"
64,"[[339, 318, 852, 8018, 329, 465, 4040, 329, 262, 2368, 12785], [465, 4697, 6621, 338, 2116, 1203, 13784, 13, 198, 198, 1], [383, 1807, 15538, 286, 616, 6723, 290, 511, 12809, 318, 11004], [5176, 284, 607, 329, 262, 670, 673, 447, 247, 82, 1760], [1973, 262, 1748, 423, 587, 7932, 287, 511, 27529, 553, 27436], [475, 314, 1107, 1842, 345, 3730, 319, 24322, 1863, 351, 477]]","[[5.043748378753662, 2.708158016204834, 0.0, 0.0, 5.664460182189941, 16.59091567993164, 11.089465141296387, 3.236968755722046, 1.8074830770492554, 0.0, 0.0], [2.572373867034912, 0.0, 0.0, 3.3520655632019043, 2.1961653232574463, 14.830568313598633, 4.905422687530518, 0.0, 0.0, 0.0, 2.4862570762634277], [7.094381332397461, 0.8521984219551086, 6.504309177398682, 1.9374018907546997, 0.9830600023269653, 13.255105018615723, 9.141227722167969, 12.224377632141113, 11.923142433166504, 10.237253189086914, 4.962546348571777], [0.0, 0.0, 2.6153998374938965, 4.215286731719971, 5.887975692749023, 11.196390151977539, 6.962673664093018, 0.0, 0.0, 2.9882562160491943, 7.041802406311035], [0.0, 0.0, 0.0, 2.4037559032440186, 1.4952094554901123, 11.19121265411377, 8.56706428527832, 6.37700080871582, 7.908677101135254, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 5.9309611320495605, 10.667223930358887, 3.2130696773529053, 0.0, 0.0, 0.0, 1.5107303857803345]]"
115,"[[1388, 2842, 284, 7073, 2647, 373, 832, 4904, 18, 19118, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 32.39152526855469, 7.545897960662842, 0.0, 0.0, 0.0, 0.0]]"
130,"[[3687, 39735, 6623, 3088, 284, 4929, 262, 3335, 11, 673, 5729], [287, 262, 3504, 11, 6666, 340, 284, 1296, 257, 9575, 12], [422, 11739, 290, 34351, 284, 15505, 683, 866, 13], [326, 673, 3073, 355, 611, 673, 468, 3750, 510, 287, 16209], [262, 2187, 640, 290, 4191, 1392, 510, 878], [20600, 757, 1222, 766, 611, 345, 3285, 257, 2372, 13, 36819]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 2.9024863243103027, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.6374802589416504, 0.8150080442428589, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.14442935585975647, 1.5198405981063843, 0.0, 0.0, 0.0], [0.47257399559020996, 0.4364585876464844, 0.0, 0.0, 0.0, 1.1089081764221191, 0.4360010623931885, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.936049222946167, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.878084123134613, 0.0, 0.0, 0.0, 0.0, 0.0]]"
171,"[[283, 3947, 284, 307, 17698, 5213, 326, 314, 815, 2822, 262], [17362, 16205, 6858, 25865, 2904, 14113, 284, 7477, 34, 290], [1223, 13, 383, 1006, 4962, 1088, 11589, 290, 1595, 470, 1656], [6342, 11, 618, 465, 2988, 3066, 339, 815, 1716, 257, 6853], [290, 2836, 2594, 11, 561, 1842, 284, 22096, 503, 883, 304], [257, 4676, 656, 262, 1785, 290, 14109, 1877, 12, 13237, 5986]]","[[0.0, 0.9855725765228271, 2.064683437347412, 0.532464325428009, 1.455114722251892, 4.953664302825928, 2.858994245529175, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.356165647506714, 1.0103732347488403, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.9689383506774902, 0.0, 0.0, 0.7701594829559326, 0.0, 1.025638461112976], [0.0, 0.0, 0.0, 0.0, 0.0, 1.940563678741455, 0.2416495382785797, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.6405889987945557, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.4003552198410034, 0.0, 0.0, 0.0, 0.0, 0.0]]"
182,"[[389, 6088, 286, 1243, 284, 5490, 546, 287, 1204, 11, 523], [423, 257, 5749, 1917, 284, 5490, 546, 783, 13, 317, 9887], [11562, 344, 88, 1243, 284, 804, 2651, 284, 618, 340, 5860], [284, 804, 329, 2130, 284, 8138], [251, 2045, 329, 2130, 284, 8138, 329, 262, 317, 3528, 17568], [65, 585, 286, 1243, 284, 24628, 262, 14935, 546, 13, 3274]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 25.576534271240234, 10.078145027160645, 0.0, 0.0, 0.47473856806755066, 0.0], [0.0, 0.0, 0.0, 0.0, 3.998460292816162, 21.503944396972656, 8.705899238586426, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 20.30863380432129, 11.618668556213379, 5.557895183563232, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 18.398569107055664], [0.0, 0.0, 0.0, 0.0, 0.0, 17.099464416503906, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 16.397836685180664, 0.38946303725242615, 0.0, 1.0270540714263916, 0.0, 0.0]]"
186,"[[290, 18613, 3085, 287, 19761, 198, 198, 1212, 2058, 355, 1757], [2158, 16352, 4000, 5614, 8537, 475, 857, 407, 6878, 24727, 13], [857, 407, 32651, 27503, 13, 317, 1051, 379, 262, 6841, 447], [7971, 3688, 284, 5510, 3399, 351, 890, 1641, 25985, 287, 428], [1437, 685, 4370, 2361, 198, 198, 39190, 685, 4370, 2361, 198], [15100, 11566, 379, 31561, 287, 262, 3594, 7968, 286, 49927, 13]]","[[0.0, 0.0, 0.0, 1.0208282470703125, 0.0, 4.136071681976318, 2.0777013301849365, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.858954906463623, 2.6076242923736572, 2.3547165393829346, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.2062703371047974, 1.973260760307312, 3.8499608039855957, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.7991926670074463, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5133507251739502, 1.707023024559021, 3.7792015075683594, 0.0, 0.0, 0.0, 1.3970916271209717, 1.8397098779678345], [0.0, 0.0, 0.0, 0.0, 2.6283512115478516, 3.7323074340820312, 0.0, 0.0, 1.006199836730957, 0.0, 2.1450889110565186]]"
194,"[[7874, 992, 9906, 6215, 1005, 566, 262, 20994, 286, 1966, 1893], [9431, 286, 257, 3415, 27011, 286, 3162, 428, 2121, 11, 262], [1448, 447, 247, 82, 1745, 319, 1176, 17642, 621, 878, 13], [15275, 286, 663, 9089, 286, 7674, 290, 1994, 27269, 287, 3908], [851, 477, 12, 10608, 1630, 286, 2669, 851, 484, 2427, 389], [338, 15818, 968, 4956, 1839, 257, 36348, 5373, 287, 262, 15734]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 14.123015403747559, 10.205438613891602, 1.9583911895751953, 0.6689450144767761, 0.0, 0.0], [0.0, 0.0, 0.0, 0.043531060218811035, 7.801658630371094, 12.224333763122559, 3.0206706523895264, 0.0, 0.0, 0.0, 0.5938863158226013], [0.0, 0.0, 0.0, 0.16361510753631592, 8.925422668457031, 11.592148780822754, 8.030424118041992, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 5.271636486053467, 10.76038932800293, 6.765529155731201, 7.111992359161377, 0.0, 0.15324720740318298, 0.0], [0.0, 0.0, 0.0, 0.0, 9.356307983398438, 10.599034309387207, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0494310855865479, 0.0, 0.0, 9.020292282104492, 10.46515941619873, 7.008413314819336, 4.448875427246094, 5.128119468688965, 2.60819935798645, 0.0]]"
225,"[[2949, 3125, 7236, 1044, 25, 317, 8962, 338, 10005, 1675, 7567], [338, 14410, 6358, 532, 317, 28992, 1285, 329, 1301, 12011, 373], [12, 3911, 2646, 287, 543, 257, 1448, 286, 3478, 7485, 19323], [25, 10433, 13, 198, 198, 38897, 910, 42073, 22571, 389, 1884], [13696, 422, 3700, 10821, 338, 41792, 32251, 11, 41830, 362, 25], [11, 281, 19907, 10997, 546, 262, 6000, 18974, 4958, 1683, 11]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 4.890931606292725, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.651034832000732, 0.44010481238365173, 0.2111845314502716, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.698208808898926, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.3697118759155273, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.251683473587036, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.04961895942688, 0.0, 0.0, 0.0, 0.0, 0.0]]"
270,"[[6414, 287, 511, 1104, 286, 2614, 4925, 11, 772, 618, 340], [50, 13, 6490, 1104, 1992, 1301, 338, 4640, 1502, 284, 13413], [13, 50, 13, 6971, 2520, 4969], [447, 247, 83, 11777, 9763, 5831, 625, 5073, 2605, 13, 843], [1104, 43995, 447, 247, 82, 2551, 284, 3895, 257, 10637, 2415], [1411, 547, 287, 2661, 286, 705, 82, 31839, 8956, 6, 290]]","[[0.0, 0.0, 0.0, 1.0907238721847534, 2.5616397857666016, 11.572758674621582, 4.636153221130371, 2.870548963546753, 1.1700549125671387, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 7.216552257537842, 10.832252502441406, 10.618578910827637, 8.036243438720703, 5.3815460205078125, 0.0, 1.51680326461792], [0.0, 0.0, 0.0, 0.0, 8.544300079345703, 9.83993148803711], [0.0, 0.0, 0.0, 0.0, 0.0, 9.48670482635498, 4.343719005584717, 0.0, 2.0796449184417725, 0.0, 0.0], [0.0, 7.093369483947754, 0.0, 0.0, 7.037051677703857, 9.147043228149414, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.649672508239746, 8.983701705932617, 4.0886549949646, 0.0, 2.8678884506225586, 6.3496928215026855, 0.212436705827713]]"
292,"[[198, 464, 23829, 1429, 329, 262, 7756, 6140, 287, 2693, 351], [2628, 50166, 1028, 262, 2422, 26721], [257, 31812, 286, 9687, 706, 1111, 9293, 547, 23485, 319, 867], [3833, 284, 17369, 5103, 287, 262, 12030, 16771, 13, 198, 198], [36418, 286, 1705, 3136, 32578, 262, 30678, 4583, 326, 471, 13], [307, 8867, 329, 4800, 739, 262, 47352, 2707, 2191, 11, 7971]]","[[0.0, 2.3870556354522705, 0.0, 0.0, 0.8267197608947754, 7.415656089782715, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 3.4415156841278076, 0.0, 4.606410026550293], [0.0, 0.0, 0.0, 0.0, 0.0, 4.078954219818115, 0.0, 0.015553601086139679, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.897197961807251, 0.431744247674942, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.6651389598846436, 0.2850622236728668, 0.033592261373996735, 1.1416691541671753, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1293688416481018, 3.6444802284240723, 0.0, 0.0, 0.7828367948532104, 0.0, 0.0]]"
302,"[[262, 33564, 351, 3252, 6290, 714, 2222, 262, 3197, 736, 656], [1433, 11, 257, 4334, 21682, 373, 6264, 287, 262, 1181, 13], [621, 3624, 2250, 706, 19558, 4073, 511, 5474, 284, 307, 35673], [318, 2406, 290, 262, 1633, 318, 1972, 3608, 11, 198, 198], [2180, 6180, 11, 16004, 14943, 550, 925, 43682, 1474, 44874, 1951], [3878, 5491, 13, 383, 4692, 318, 635, 2938, 284, 16085, 1973]]","[[0.0, 0.0, 2.233525514602661, 0.0, 2.390920877456665, 12.968886375427246, 7.271306037902832, 3.4218289852142334, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 12.922736167907715, 8.758071899414062, 9.072508811950684, 8.25875186920166, 0.0, 4.319105625152588], [0.0, 0.0, 0.0, 0.0, 2.3085594177246094, 12.832198143005371, 1.8260866403579712, 0.0, 0.0, 0.0, 0.0], [9.856331825256348, 10.094606399536133, 2.415849447250366, 5.371459007263184, 0.0, 11.087545394897461, 8.576454162597656, 7.07559871673584, 4.871865749359131, 4.253955364227295, 4.7948994636535645], [0.0, 0.0, 0.0, 0.0, 0.06161600351333618, 10.498202323913574, 7.345383644104004, 6.471761703491211, 1.736486554145813, 0.0, 0.0], [0.0, 0.3329082429409027, 2.4128453731536865, 1.3251539468765259, 0.0, 10.480084419250488, 9.703044891357422, 8.02541732788086, 7.234261512756348, 6.7370123863220215, 3.9103100299835205]]"
329,"[[7938, 290, 13404, 389, 257, 1049, 5022, 13, 317, 4512, 460]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 28.355588912963867, 0.9096633791923523, 0.0, 0.0, 0.0, 0.0]]"
351,"[[2933, 13, 198, 198, 11605, 4477, 2174, 15422, 198, 198, 14574]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 83.36077880859375, 0.0, 0.0, 0.0, 0.0, 0.0]]"
411,"[[477, 1366, 815, 307, 5716, 8603, 416, 852, 48299, 11, 18118], [4165, 7077, 318, 284, 2652, 1363, 290, 804], [812, 13, 40749, 7103, 290, 4708, 1037, 329, 262, 1735, 3048], [3387, 10104, 534, 1333, 5209, 3393, 329, 597, 1051, 286, 7625], [1241, 11, 356, 1276, 670, 21329, 11, 447, 251, 531, 1052], [366, 40, 1011, 790, 1339, 1912, 319, 262, 2370, 878, 502]]","[[0.0, 0.5974344611167908, 0.02992986887693405, 2.502537965774536, 6.124895095825195, 7.312196731567383, 3.655208110809326, 0.5768129825592041, 0.0, 0.0, 0.0], [1.845023274421692, 0.3055557906627655, 0.3484928607940674, 2.2445456981658936, 2.7392046451568604, 4.122125625610352, 3.7176334857940674, 2.250420570373535], [0.0, 0.0, 0.0, 1.9704166650772095, 0.27852267026901245, 4.016449451446533, 2.581906318664551, 0.03678641468286514, 0.6896504759788513, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.804182529449463, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.09089665859937668, 3.2690093517303467, 2.67667555809021, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.290480136871338, 3.039215087890625, 2.5854265689849854, 0.9868566393852234, 0.8926305174827576, 0.0, 1.9750968217849731]]"
