Dimension Index,Top-Activating Contexts,Context Activations
3,"[[287, 3624, 3442, 5348, 290, 287, 5849, 38001, 11, 14248, 1539], [30612, 416, 281, 7485, 1181, 25, 10433, 13, 198, 198, 38897], [287, 2520, 16070, 11, 12671, 198, 198, 464, 37206, 357, 26], [43139, 10702, 8, 3334, 3961, 357, 24529, 8, 357, 3003, 5180], [28335, 11, 2520, 5913, 13, 314, 447, 247, 76, 546, 1315], [1437, 685, 4370, 2361, 198, 198, 39190, 685, 4370, 2361, 198]]","[[0.0, 0.0, 0.0, 0.0, 2.6966137886047363, 2.726290225982666, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.572968006134033, 0.0, 0.9293944835662842, 0.7191862463951111, 0.533683180809021, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.2018518447875977, 1.287250280380249, 0.7808963656425476, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.1668214797973633, 0.0, 0.5018829107284546, 0.2815042734146118, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.3800724744796753, 2.0915067195892334, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.25071489810943604, 0.0, 0.9548686146736145, 1.8982363939285278, 1.9387280941009521, 0.0, 0.0, 0.0, 0.0, 0.31868067383766174]]"
5,"[[663, 6685, 656, 3601, 851, 287, 530, 4858], [279, 3157, 465, 3292, 532, 287, 6481, 8036, 6977, 532, 355], [5445, 393, 19556, 2438, 1377, 2138, 340, 338, 257, 11804, 287], [1681, 11, 262, 5852, 784, 345], [42498, 286, 2026, 661, 532, 287, 1295, 780, 286, 7476, 286], [447, 247, 82, 13203, 1906, 45553, 45932, 651, 2485, 9091, 510]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 12.253373146057129, 0.27324265241622925, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 11.839158058166504, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 11.73327350616455, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.49213695526123], [0.0, 0.0, 0.0, 0.0, 0.0, 10.312187194824219, 2.1206588745117188, 0.01492433249950409, 0.8148449063301086, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.242112159729004, 0.0, 0.0, 0.0, 0.0, 0.0]]"
18,"[[1535, 290, 9007, 938, 6076, 290, 3931, 416, 13011, 262, 4196], [373, 717, 3417, 287, 10249, 290, 4909, 257, 2060, 1900, 4693], [1760, 845, 2904, 287, 2901, 290, 5017, 5433, 3394, 7652, 11], [14852, 13588, 319, 2795, 1542, 290, 2901, 352, 329, 262, 5544], [1923, 319, 11010, 287, 2901, 290, 2932, 11, 3098, 12, 76], [4905, 2540, 319, 2805, 362, 290, 550, 3114, 22922, 2004, 866]]","[[0.0, 0.0, 0.0, 0.0, 2.942451000213623, 29.1749267578125, 8.639671325683594, 2.3871304988861084, 0.0, 1.1302627325057983, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 27.954906463623047, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.8151572942733765, 27.406042098999023, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 26.85375213623047, 0.0, 3.22933292388916, 2.756178140640259, 1.657959222793579, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 26.74517822265625, 6.28603982925415, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 24.579572677612305, 0.0, 0.0, 0.0, 0.0, 0.0]]"
23,"[[1363, 13, 198, 198, 464, 1596, 12, 1941, 12, 727, 10835], [13, 76, 13, 618, 257, 1160, 12, 1941, 12, 727, 6807], [4287, 5174, 262, 3117, 355, 5214, 12, 1941, 12, 727, 12139], [13, 679, 1138, 262, 788, 678, 12, 1941, 12, 727, 2802], [465, 7393, 198, 198, 32, 1467, 12, 1941, 12, 727, 12540], [1448, 286, 17366, 11, 257, 6337, 12, 1941, 12, 727, 3999]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 12.590303421020508, 2.720132350921631, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 12.046116828918457, 4.873490810394287, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 11.136714935302734, 1.7244285345077515, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.306495666503906, 0.16729456186294556, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.801461219787598, 2.1270060539245605, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.642902374267578, 1.3359849452972412, 0.0, 0.0, 0.0, 0.0]]"
29,"[[12, 3132, 3278, 8391, 326, 5125, 1411, 286, 6490, 366, 11576], [198, 198, 46108, 4421, 11, 1367, 1411, 286], [338, 5085, 389, 2042, 11, 5846, 1411, 286, 1918, 5752, 16831], [3015, 11, 3688, 284, 655, 678, 1411, 329, 1301, 290, 281], [1353, 23827, 11, 981, 691, 5193, 1411, 286, 1605, 2444, 547], [5846, 33963, 3682, 7441, 981, 767, 4, 286, 883, 20840, 12285]]","[[0.0, 0.0, 0.0, 0.0, 1.6586174964904785, 26.179378509521484, 0.0, 0.0, 1.140594244003296, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 24.5792179107666, 0.8475929498672485, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 21.27814483642578, 0.0, 0.0, 1.9874802827835083, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 20.350631713867188, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.1408261060714722, 18.597238540649414, 0.0, 0.0, 0.0, 0.0, 0.0], [17.941326141357422, 0.0, 13.350848197937012, 0.0, 0.0, 18.57588005065918, 0.5806187987327576, 0.0, 0.0, 2.7402188777923584, 0.0]]"
40,"[[13, 198, 198, 7085, 661, 423, 587, 7428, 284, 262, 4736], [441, 654, 11, 867, 3399, 423, 6875, 2405, 4684, 284, 1577], [21336, 11717, 3670, 11, 867, 743, 407, 760, 546, 340, 447], [1547, 11, 588, 3589, 11, 389, 6454, 40434, 290, 11679, 326]]","[[0.0, 0.0, 0.0, 0.0, 7.59216833114624, 14.082341194152832, 11.538751602172852, 4.725872993469238, 3.0493850708007812, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 6.988709449768066, 14.041834831237793, 6.8838019371032715, 2.717978000640869, 0.0, 1.099811315536499, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.864005088806152, 13.611281394958496, 7.228085517883301, 1.4181878566741943, 0.0, 0.0], [5.982786178588867, 8.47566032409668, 5.8140082359313965, 1.4453939199447632, 8.785289764404297, 12.157304763793945, 7.808906078338623, 6.089353084564209, 3.181612730026245, 1.2026714086532593, 0.0]]"
58,"[[9857, 290, 307, 1498, 284, 1394, 4955, 345, 351, 1705, 290], [460, 1249, 262, 5778, 284, 3051, 13, 198, 198, 464, 14780], [481, 1249, 13224, 11372, 284, 12377, 511, 1402, 30511, 24587, 11], [345, 11, 5086, 345, 284, 2962, 319, 262, 517, 30876, 8861], [2392, 481, 1249, 683, 284, 307, 257, 636, 286, 262, 4009], [326, 481, 7139, 606, 284, 8277, 6840, 290, 1720, 2280]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 10.01531982421875, 3.253387689590454, 0.0, 0.0, 1.3765450716018677, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.8146333694458, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.2636079788208, 3.0178098678588867, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 8.978991508483887, 0.8817448019981384, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 8.511420249938965, 4.722515106201172, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 8.130866050720215, 2.183651924133301, 0.0, 0.0, 0.0]]"
62,"[[25596, 431, 4481, 262, 3002, 1242, 319, 465, 10767, 351, 262], [4747, 362, 358, 3530, 543, 23707, 40355, 14372, 338, 7072, 11], [20581, 4890, 15846, 8599, 2253, 11, 7931, 1869, 290, 24346, 6902], [2084, 314, 2716, 257, 983, 1444, 2159, 35921, 9142, 13, 383], [16127, 6520, 284, 3280, 2683, 357, 53, 47776, 14, 19040, 18914], [262, 1029, 266, 441, 324, 27106, 6502, 14743, 13, 314, 892]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 14.1431245803833, 0.5643901824951172, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 11.538579940795898, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 6.687493801116943, 0.0, 0.0, 11.153076171875, 0.0, 0.0, 6.4657063484191895, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.22226744890213013, 10.769376754760742, 2.9670896530151367, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.354019165039062, 0.0, 0.0, 5.808801651000977, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.165624618530273, 0.0, 0.0, 0.0, 0.0, 0.0]]"
95,"[[3572, 290, 3689, 1088, 994, 11, 356, 588, 262, 5449, 356], [463, 1671, 23103, 991, 6439, 11, 262, 12928, 286, 7598, 64], [3152, 1248, 9558, 284, 467, 11, 326, 318, 416, 645, 1724], [4925, 286, 3572, 284, 2985, 11, 6279, 16031], [5454, 6196, 319, 262, 17810, 11, 262, 640, 468, 1282, 329], [262, 1853, 10828, 6246, 17715, 11, 5283, 1547, 329, 290, 1028]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 21.062238693237305, 4.59573221206665, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 19.233028411865234, 4.220725059509277, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 17.670032501220703, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 17.285751342773438, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 17.048810958862305, 3.430260181427002, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 16.7833194732666, 0.0, 0.0, 0.0, 0.0, 0.0]]"
110,"[[290, 5581, 8674, 11, 14015, 12, 34050, 16002, 11, 2647, 26777], [8, 318, 281, 1605, 14015, 12, 34050, 16002, 11, 25625, 3970], [22119, 22145, 11949, 11, 6260, 11, 290, 11812, 5887, 4434, 9232], [18275, 318, 262, 1242, 1486, 290, 49069, 3241, 284, 3703, 326], [12083, 11, 16855, 11, 36883, 11, 7776, 11, 290, 7722, 11], [5718, 198, 198, 2215, 21221, 290, 11254, 1659, 33263, 10808, 9119]]","[[2.529092788696289, 0.0, 0.0, 2.892629384994507, 1.3557631969451904, 11.407426834106445, 5.953248977661133, 2.1566107273101807, 7.719152450561523, 3.5604262351989746, 1.0036441087722778], [0.0, 0.0, 0.0, 0.0, 0.0, 11.344964981079102, 5.594076156616211, 0.9996491074562073, 8.079129219055176, 1.6780939102172852, 3.9769105911254883], [0.0, 0.0, 0.0, 3.6884195804595947, 0.18381932377815247, 8.794175148010254, 8.170927047729492, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.905776262283325, 8.725564002990723, 2.036048650741577, 0.0, 0.0, 0.0, 0.849412202835083], [0.0, 5.313673973083496, 0.8170744180679321, 4.982227802276611, 1.985385775566101, 7.913197994232178, 1.7659763097763062, 3.640331983566284, 4.539299964904785, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.859854221343994, 1.273369550704956, 0.0, 0.0, 0.0, 0.0]]"
