Dimension Index,Top-Activating Contexts,Context Activations
0,"[[15269, 357, 34]]","[[248.08541870117188, 0.0, 0.0]]"
1,"[[15269, 357, 34]]","[[232.00424194335938, 1.1113080978393555, 0.0]]"
2,"[[15269, 357, 34]]","[[290.3020324707031, 0.0, 0.0]]"
3,"[[15269, 357, 34]]","[[239.30592346191406, 0.0, 0.0]]"
4,"[[15269, 357, 34]]","[[261.0205383300781, 0.0, 0.0]]"
5,"[[15269, 357, 34]]","[[91.36537170410156, 1.908575415611267, 3.2526609897613525]]"
6,"[[15269, 357, 34]]","[[243.73887634277344, 0.0, 0.0]]"
7,"[[15269, 357, 34]]","[[130.11441040039062, 0.0, 0.0]]"
8,"[[15269, 357, 34]]","[[204.89584350585938, 0.0, 0.0]]"
9,"[[15269, 357, 34]]","[[331.05487060546875, 0.0, 0.0]]"
10,"[[15269, 357, 34]]","[[184.8346405029297, 0.0, 0.0]]"
11,"[[15269, 357, 34]]","[[237.6653289794922, 0.6647607088088989, 0.0]]"
12,"[[15269, 357, 34]]","[[180.9630889892578, 0.0, 0.0]]"
13,"[[15269, 357, 34]]","[[47.79993438720703, 0.0, 0.0]]"
15,"[[15269, 357, 34]]","[[280.025146484375, 0.0, 0.0]]"
16,"[[15269, 357, 34]]","[[240.5055694580078, 0.0, 4.069342613220215]]"
17,"[[15269, 357, 34]]","[[123.34835052490234, 0.0, 0.0]]"
19,"[[15269, 357, 34]]","[[206.18072509765625, 0.0, 0.0]]"
20,"[[15269, 357, 34]]","[[263.2317199707031, 0.0, 0.0]]"
21,"[[15269, 357, 34]]","[[248.29759216308594, 0.0, 0.0]]"
22,"[[15269, 357, 34]]","[[225.85995483398438, 0.0, 0.0]]"
23,"[[15269, 357, 34]]","[[165.8389892578125, 0.0, 0.0]]"
24,"[[15269, 357, 34]]","[[211.4889373779297, 2.3702874183654785, 0.0]]"
25,"[[15269, 357, 34]]","[[201.967041015625, 0.0, 0.0]]"
26,"[[15269, 357, 34]]","[[220.08546447753906, 0.0, 0.0]]"
