Dimension Index,Top-Activating Contexts,Context Activations
13,"[[1336, 13902, 11, 6906, 319, 262, 13186, 54, 4235, 262, 2494], [4030, 510, 284, 3128, 351, 3660, 18779, 393, 5423, 16014, 11], [5874, 290, 2854, 3033, 286, 777, 9382, 4116, 13, 2102, 11], [2546, 1693, 11, 597, 900, 286, 5359, 393, 20855, 13, 3423], [1909, 447, 247, 82, 1110, 290, 2479, 475, 262, 2126, 286], [2233, 284, 262, 29787, 286, 262]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 4.173437595367432, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.069828033447266, 0.0, 0.03749885410070419, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.962029218673706, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.11371683329343796, 0.0, 3.5298445224761963, 0.0, 0.0, 0.0, 0.0, 0.0], [2.6458003520965576, 0.0, 0.0, 3.2373039722442627, 0.8173694610595703, 3.5240185260772705, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0923941135406494, 3.4742441177368164]]"
45,"[[198, 4514, 262, 6953, 318, 3024, 11, 290, 4574, 1327, 329]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.045593708753585815, 0.0, 0.0, 0.0, 0.0, 0.0]]"
57,"[[6613, 286, 784, 314, 1053, 1464, 6151, 4885, 82, 13, 1114], [198, 198, 447, 250, 40, 423, 407], [12217, 4560, 5011, 526, 40, 1101, 1972, 257, 1310, 10032, 286], [373, 616, 717, 3572, 788, 290, 339, 373, 262, 717, 3572], [475, 329, 617, 1738, 314, 1392, 281, 33390, 2033, 286, 9965], [465, 8526, 532, 290, 852, 366, 2550, 284, 1986, 351, 9950]]","[[5.954366207122803, 4.2747039794921875, 7.1179609298706055, 5.996327877044678, 9.397273063659668, 9.696029663085938, 7.662200450897217, 0.0, 0.0, 1.067775845527649, 1.1273009777069092], [0.0, 2.725416898727417, 0.0, 0.0, 1.4440761804580688, 8.888758659362793, 5.314580917358398], [0.0, 0.0, 0.0, 0.0, 1.2437621355056763, 8.206730842590332, 5.8404221534729, 1.6325057744979858, 0.0, 1.0231215953826904, 5.9510626792907715], [3.889052152633667, 5.092084884643555, 5.128042697906494, 2.814249038696289, 3.2360308170318604, 8.048065185546875, 3.5296411514282227, 6.908434867858887, 5.339118480682373, 4.982810974121094, 3.541647434234619], [7.6246562004089355, 5.779454231262207, 1.777829885482788, 0.1099584698677063, 5.802592754364014, 8.046744346618652, 3.151007652282715, 1.0240212678909302, 1.3757065534591675, 1.8609211444854736, 0.8977835178375244], [0.0, 3.069974184036255, 0.0, 0.2102322280406952, 2.2828338146209717, 7.924739837646484, 3.0837318897247314, 2.246361494064331, 0.9965493679046631, 5.127070903778076, 2.780256509780884]]"
69,"[[389, 2615, 851, 290, 481, 2555, 284, 1382, 11, 447, 251], [287, 428, 6531, 13, 775, 481, 4605, 2717, 1099, 11, 4404], [383, 1605, 18613, 481, 2555, 284, 8076, 351, 257, 3126, 4], [14270, 2055, 13, 2893, 356, 466, 423, 257, 28810, 1351, 286], [775, 447, 247, 297, 307, 5291, 2610, 286, 262, 1266, 2137], [2260, 13215, 13, 1081, 356, 2555, 284, 18595, 7534, 319, 6067]]","[[1.2132917642593384, 0.0, 0.0, 0.0, 2.3813092708587646, 18.994548797607422, 17.5902042388916, 5.390065670013428, 5.596431732177734, 0.0, 0.0], [2.8491337299346924, 0.0, 1.7073991298675537, 2.6682684421539307, 5.259381294250488, 9.559094429016113, 0.0, 0.0, 0.0, 5.280779838562012, 0.0], [0.0, 0.0, 0.0, 0.0, 6.182486534118652, 6.9516167640686035, 2.925428867340088, 0.0, 0.8896925449371338, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6657039523124695, 6.845963001251221, 3.5477545261383057, 6.047902584075928, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 6.6456804275512695, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.939521074295044, 6.132363319396973, 5.028711318969727, 0.0, 0.0, 0.0, 0.0]]"
82,"[[338, 3594, 10873, 286, 5896, 7547, 0, 1524, 21580, 1628, 13], [15415, 709, 11, 262, 3394, 14791, 284, 7137, 11, 373, 27546], [286, 10663, 12, 33163, 4346, 2137, 19758, 22361, 13, 2399, 7341], [714, 2610, 290, 8209, 262, 376, 12, 2327, 26, 2158, 340], [32698, 7369, 513, 19523, 286, 3806, 16235, 468, 3181, 20758, 29799], [15469, 284, 4078, 270, 5953, 4796, 14200, 406, 454, 8906, 30175]]","[[0.0, 0.0, 0.0, 0.0, 5.121159553527832, 7.479602813720703, 6.76859712600708, 3.906221866607666, 4.536956310272217, 3.954207420349121, 0.0], [0.0, 0.0, 0.0, 2.1618080139160156, 2.5979554653167725, 6.951673984527588, 5.336965560913086, 4.4905548095703125, 0.4974200427532196, 0.0, 0.0], [5.321323394775391, 3.000337600708008, 0.8115043640136719, 2.21954083442688, 3.4072227478027344, 6.648185729980469, 4.717814922332764, 1.1948162317276, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.8382118940353394, 6.641623497009277, 3.6391549110412598, 1.2045480012893677, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.754823684692383, 6.592789173126221, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2.478822946548462, 2.6298282146453857, 5.418715476989746, 6.351848125457764, 2.3341219425201416, 0.525894045829773, 0.0, 2.6413707733154297, 0.0]]"
137,"[[11, 475, 3264, 3519, 284, 262, 49401, 1245, 318, 7946, 47], [1911, 198, 198, 1722, 329, 262, 14591, 11, 12002, 6, 16588], [284, 760, 644, 318, 287, 262, 366, 48890, 4196, 1, 20150], [780, 262, 7664, 10944, 422, 262, 1242, 12, 3106, 8922, 373], [33178, 13, 383, 2695, 319, 262, 4947], [407, 2453, 262, 13242, 286, 262, 26345, 361, 605, 4513, 319]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 11.569425582885742, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.489182472229004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.052597045898438, 1.7620370388031006, 0.0, 0.0, 0.0, 0.0], [0.0, 3.3264145851135254, 0.0, 0.0, 0.0, 8.542814254760742, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2.120779514312744, 0.0, 0.0, 8.392675399780273, 0.0], [0.0, 0.0, 4.704923629760742, 0.0, 0.0, 7.725351333618164, 0.0, 0.0, 0.0, 0.0, 0.0]]"
164,"[[351, 749, 5140, 1626, 9443, 24003, 82, 13, 198, 198, 19053], [3834, 21426, 447, 247, 82, 357, 9541, 471, 6242, 1201, 484], [35492, 641, 652, 1080, 318, 257, 636, 286, 262, 23326, 10927], [4327, 14083, 262, 5134, 656, 734, 18783, 25, 24690, 15461, 257], [11, 5137, 606, 287, 262, 976, 6536, 355, 4036, 13835, 2319], [13969, 10583, 284, 23957, 2276, 13969, 3946, 287, 50066, 11, 8920]]","[[0.0, 0.0, 0.0, 0.21342280507087708, 7.938640117645264, 12.038949012756348, 10.476055145263672, 0.0, 0.0, 0.0, 0.0], [7.473626613616943, 0.5531666278839111, 2.105841875076294, 2.0831174850463867, 6.520343780517578, 12.01199722290039, 5.0531816482543945, 8.22233772277832, 7.347111701965332, 0.0, 4.08506965637207], [1.8872694969177246, 0.20633777976036072, 1.9136426448822021, 4.49655294418335, 4.730340003967285, 11.183106422424316, 4.749953269958496, 3.2095401287078857, 3.500642776489258, 6.472588539123535, 4.779035568237305], [1.6368069648742676, 0.15671434998512268, 2.0998082160949707, 0.2868959903717041, 5.592244625091553, 11.008688926696777, 7.049086570739746, 3.2223727703094482, 2.2827064990997314, 0.0, 1.5225951671600342], [0.5412545204162598, 0.0, 5.162662982940674, 5.324800491333008, 6.902334690093994, 10.703033447265625, 4.181504726409912, 0.0, 0.0, 0.0, 0.0], [5.651333332061768, 4.2795844078063965, 0.0, 1.7359269857406616, 6.152560710906982, 10.013980865478516, 3.5490286350250244, 0.0, 1.9480838775634766, 0.0, 0.0]]"
165,"[[13, 383, 2828, 531, 262, 1294, 481, 2245, 19089, 23727, 287], [286, 262, 1730, 11, 262, 29411, 3328, 5658, 11, 34521, 15502], [13093, 16439, 11, 543, 262, 1294, 1718, 355, 636, 286, 9388], [18508, 13, 198, 198, 464, 8501, 2324, 2594, 6, 22644, 373], [17940, 468, 339, 15395, 262, 14778, 1230, 338, 2581, 329, 257], [2692, 13, 198, 198, 464, 6085, 2422, 531, 287, 257, 2643]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 16.478878021240234, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.41057300567627, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.198659896850586, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 12.842105865478516, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 12.769044876098633, 5.299075603485107, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.907048225402832, 0.31979185342788696, 0.0, 0.0, 0.0, 0.0]]"
176,"[[1139, 25, 921, 685, 25878, 60, 815, 2652, 379, 534, 1363], [11, 10622, 511, 30819, 414, 290, 4104, 38713, 287, 3592, 11], [326, 4562, 2291, 16552, 1397, 422, 1714, 878, 4845, 290, 16552], [17117, 11, 290, 262, 17927, 286, 11666, 27503, 13, 554, 1296], [484, 1718, 340, 13, 1002, 484, 1422, 470, 11, 484, 9617], [262, 2694, 284, 19813, 883, 326, 561, 1302, 1028, 606, 739]]","[[0.0, 1.2688641548156738, 7.591097831726074, 6.972969055175781, 2.7876129150390625, 14.153457641601562, 4.616265773773193, 4.264893054962158, 5.786292552947998, 8.978503227233887, 2.5880863666534424], [2.970947027206421, 3.142824411392212, 9.483494758605957, 4.7672858238220215, 3.2441980838775635, 13.320989608764648, 12.376786231994629, 10.354875564575195, 11.10363483428955, 6.308056831359863, 6.035671710968018], [0.0, 0.0, 0.0, 1.5225335359573364, 7.628110885620117, 13.094734191894531, 6.789762496948242, 3.2463459968566895, 0.0, 8.215609550476074, 0.0], [0.0, 2.0005664825439453, 0.5328804850578308, 0.3052836060523987, 1.4794155359268188, 10.468273162841797, 2.818430185317993, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 4.379368782043457, 10.017036437988281, 0.0, 2.17231822013855, 0.0, 2.01016902923584, 0.0], [0.0, 0.0, 0.0, 0.0, 5.124682426452637, 9.84280776977539, 9.494962692260742, 7.6965107917785645, 0.0, 0.0, 0.0]]"
182,"[[503, 612, 13, 775, 3465, 351, 10436, 262, 867, 599, 4131], [247, 82, 644, 749, 17591, 616, 4151, 290, 1027, 428, 1227], [428, 2071, 356, 1011, 257, 1969, 804, 379, 262, 3394, 1099], [783, 845, 1103, 13, 7119, 1969, 3241, 284, 262, 2643, 16095], [3277, 13, 2080, 428, 3061, 287, 2000, 11, 13258, 12155, 9469], [326, 318, 1654, 284, 4929, 262, 3241, 286, 1111, 1748, 2828]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 16.75150489807129, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 7.523766994476318, 16.666946411132812, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 4.238840579986572, 6.514222145080566, 16.57624053955078, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 4.112459659576416, 16.514923095703125, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.5421860218048096, 12.75153636932373, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 11.039567947387695, 0.0, 0.0, 0.0, 0.0, 0.0]]"
