Dimension Index,Top-Activating Contexts,Context Activations
0,"[[15269, 357, 34]]","[[186.20803833007812, 0.0, 0.0]]"
1,"[[15269, 357, 34]]","[[141.7075653076172, 0.0, 0.0]]"
2,"[[15269, 357, 34]]","[[203.26187133789062, 2.917142152786255, 0.0]]"
3,"[[15269, 357, 34]]","[[141.29086303710938, 1.2810094356536865, 0.0]]"
5,"[[15269, 357, 34]]","[[208.14471435546875, 0.0, 0.0]]"
6,"[[15269, 357, 34]]","[[202.00665283203125, 0.0, 0.0]]"
7,"[[15269, 357, 34]]","[[202.6190643310547, 0.4842577278614044, 0.9010879993438721]]"
8,"[[15269, 357, 34]]","[[47.77139663696289, 0.0, 0.0]]"
9,"[[15269, 357, 34]]","[[225.25352478027344, 0.0, 0.0]]"
10,"[[15269, 357, 34]]","[[141.45968627929688, 0.6223875284194946, 0.0]]"
11,"[[15269, 357, 34]]","[[128.92282104492188, 0.0, 0.0]]"
12,"[[15269, 357, 34]]","[[273.81097412109375, 0.0, 3.0429487228393555]]"
13,"[[15269, 357, 34]]","[[227.18060302734375, 0.0, 0.0]]"
14,"[[15269, 357, 34]]","[[209.76669311523438, 0.0, 0.0]]"
15,"[[15269, 357, 34]]","[[166.4553985595703, 0.0, 0.0]]"
16,"[[15269, 357, 34]]","[[175.88369750976562, 0.0, 0.0]]"
17,"[[15269, 357, 34]]","[[146.8018341064453, 0.0, 0.0]]"
18,"[[15269, 357, 34]]","[[153.61642456054688, 0.0, 0.0]]"
19,"[[15269, 357, 34]]","[[163.17098999023438, 0.0, 0.0]]"
20,"[[15269, 357, 34]]","[[184.0221405029297, 0.0, 0.0]]"
21,"[[15269, 357, 34]]","[[190.2695770263672, 0.0, 0.0]]"
22,"[[15269, 357, 34]]","[[212.40011596679688, 0.0, 0.0]]"
23,"[[15269, 357, 34]]","[[133.9889678955078, 0.0, 1.8887720108032227]]"
24,"[[15269, 357, 34]]","[[185.6138458251953, 0.0, 0.0]]"
25,"[[15269, 357, 34]]","[[172.8621368408203, 0.0, 0.0]]"
26,"[[15269, 357, 34]]","[[164.4676055908203, 0.0, 0.7084283828735352]]"
27,"[[15269, 357, 34]]","[[105.4365463256836, 0.0, 0.0]]"
28,"[[15269, 357, 34]]","[[172.14105224609375, 0.0, 0.0]]"
29,"[[15269, 357, 34]]","[[211.18699645996094, 0.0, 0.0]]"
