Dimension Index,Top-Activating Contexts,Context Activations
0,"[[15269, 357, 34]]","[[222.3200225830078, 0.0, 0.0]]"
1,"[[15269, 357, 34]]","[[213.3684844970703, 1.2647202014923096, 0.0]]"
3,"[[15269, 357, 34]]","[[157.09237670898438, 0.0, 0.0]]"
4,"[[15269, 357, 34]]","[[138.7398223876953, 0.0, 0.0]]"
6,"[[15269, 357, 34]]","[[272.00830078125, 0.20961010456085205, 0.0]]"
7,"[[15269, 357, 34]]","[[178.24220275878906, 0.0, 0.0]]"
8,"[[15269, 357, 34]]","[[189.70977783203125, 0.0, 0.0]]"
9,"[[15269, 357, 34]]","[[111.9988784790039, 0.0, 0.0]]"
10,"[[15269, 357, 34]]","[[132.84524536132812, 0.0, 0.0]]"
11,"[[15269, 357, 34]]","[[186.1097869873047, 0.16616763174533844, 0.0]]"
12,"[[15269, 357, 34]]","[[224.51727294921875, 0.0, 0.0]]"
13,"[[15269, 357, 34]]","[[226.46328735351562, 0.0, 0.0]]"
14,"[[15269, 357, 34]]","[[260.74169921875, 0.0, 0.9721847176551819]]"
15,"[[15269, 357, 34]]","[[154.59341430664062, 0.0, 0.0]]"
16,"[[15269, 357, 34]]","[[149.5645751953125, 0.0, 0.0]]"
17,"[[15269, 357, 34]]","[[205.9534912109375, 0.0, 0.0]]"
18,"[[15269, 357, 34]]","[[191.58924865722656, 0.0, 0.0]]"
19,"[[15269, 357, 34]]","[[136.39085388183594, 0.0, 0.0]]"
20,"[[15269, 357, 34]]","[[203.82586669921875, 0.0, 0.0]]"
21,"[[15269, 357, 34]]","[[266.7970886230469, 0.0, 0.0]]"
22,"[[15269, 357, 34]]","[[157.64414978027344, 0.0, 0.0]]"
23,"[[15269, 357, 34]]","[[218.3224639892578, 0.0, 0.0]]"
24,"[[15269, 357, 34]]","[[109.8368911743164, 0.0, 0.0]]"
25,"[[15269, 357, 34]]","[[171.5854949951172, 0.0, 0.0]]"
26,"[[15269, 357, 34]]","[[69.18010711669922, 0.0, 0.0]]"
