Dimension Index,Top-Activating Contexts,Context Activations
0,"[[15269, 357, 34]]","[[0.0, 0.18892523646354675, 0.3240528404712677]]"
1,"[[15269, 357, 34]]","[[3.1884472370147705, 0.30884844064712524, 0.38337355852127075]]"
2,"[[15269, 357, 34]]","[[96.16835021972656, 0.0, 0.0]]"
3,"[[15269, 357, 34]]","[[173.34890747070312, 0.0, 0.0]]"
4,"[[15269, 357, 34]]","[[184.22869873046875, 4.221930503845215, 1.487657904624939]]"
5,"[[15269, 357, 34]]","[[66.84634399414062, 0.0, 0.0]]"
6,"[[15269, 357, 34]]","[[250.10206604003906, 0.0, 0.0]]"
7,"[[15269, 357, 34]]","[[100.38372802734375, 0.0, 0.0]]"
8,"[[15269, 357, 34]]","[[203.16954040527344, 0.48516741394996643, 0.0]]"
9,"[[15269, 357, 34]]","[[291.6616516113281, 5.568788528442383, 0.0]]"
10,"[[15269, 357, 34]]","[[180.3935546875, 2.2820839881896973, 0.0]]"
11,"[[15269, 357, 34]]","[[129.15919494628906, 0.9660769701004028, 0.0]]"
12,"[[15269, 357, 34]]","[[143.5182647705078, 1.8739497661590576, 1.0349336862564087]]"
13,"[[15269, 357, 34]]","[[137.4252471923828, 0.0, 0.0]]"
14,"[[15269, 357, 34]]","[[107.23120880126953, 0.0, 0.0]]"
15,"[[15269, 357, 34]]","[[136.3616180419922, 0.0, 0.0]]"
16,"[[15269, 357, 34]]","[[147.4638214111328, 0.4693748950958252, 0.0]]"
17,"[[15269, 357, 34]]","[[129.3659210205078, 0.0, 0.0]]"
18,"[[15269, 357, 34]]","[[113.2261734008789, 0.0, 0.0]]"
19,"[[15269, 357, 34]]","[[162.1024169921875, 0.8389768600463867, 0.0]]"
20,"[[15269, 357, 34]]","[[143.36111450195312, 2.7763712406158447, 0.0]]"
21,"[[15269, 357, 34]]","[[145.9687042236328, 0.0, 0.0]]"
22,"[[15269, 357, 34]]","[[146.91372680664062, 0.7270972728729248, 1.5918515920639038]]"
23,"[[15269, 357, 34]]","[[0.0, 0.39413413405418396, 0.397449254989624]]"
24,"[[15269, 357, 34]]","[[125.47193908691406, 0.0, 0.0]]"
25,"[[15269, 357, 34]]","[[184.6338348388672, 2.192596912384033, 0.0]]"
26,"[[15269, 357, 34]]","[[139.9746551513672, 4.23712158203125, 2.000441789627075]]"
27,"[[15269, 357, 34]]","[[97.11779022216797, 0.0, 0.0]]"
29,"[[15269, 357, 34]]","[[151.0799102783203, 0.0, 0.0]]"
30,"[[15269, 357, 34]]","[[131.35130310058594, 0.0, 1.6024556159973145]]"
31,"[[15269, 357, 34]]","[[192.4207000732422, 0.0, 0.0]]"
32,"[[15269, 357, 34]]","[[166.6680450439453, 0.0, 0.0]]"
33,"[[15269, 357, 34]]","[[212.95791625976562, 0.0, 0.0]]"
34,"[[15269, 357, 34]]","[[156.4336700439453, 3.19978666305542, 6.193042278289795]]"
35,"[[15269, 357, 34]]","[[123.11283874511719, 0.0, 0.0]]"
36,"[[15269, 357, 34]]","[[165.98207092285156, 0.0, 0.0]]"
37,"[[15269, 357, 34]]","[[144.31179809570312, 0.33969178795814514, 0.0]]"
38,"[[15269, 357, 34]]","[[182.2455291748047, 0.0, 0.0]]"
39,"[[15269, 357, 34]]","[[0.0, 0.38085609674453735, 0.2891901731491089]]"
