Dimension Index,Top-Activating Contexts,Context Activations
721,"[[4069, 484, 423, 25212, 3690, 2106, 468, 587, 14873, 1431, 287], [198, 7149, 44897, 6095, 6983, 14218, 1276, 307, 1498, 284, 1702], [790, 5044, 326, 468, 1683, 11196, 13, 1629, 625, 5323, 1510], [447, 251, 6609, 287, 262, 995, 11, 290, 345, 389, 6481], [18776, 13, 383, 24917, 8361, 4069, 318, 2077, 284, 262, 8713], [338, 1683, 3750, 284, 3931, 1413, 393, 7342, 1576, 3931, 1413]]","[[9.115167617797852, 0.0, 5.1751017570495605, 10.939361572265625, 1.3530224561691284, 11.648566246032715, 10.278379440307617, 6.766620635986328, 0.0, 4.863132476806641, 3.632282018661499], [0.0, 0.0, 7.188955783843994, 7.254821300506592, 4.178235054016113, 11.362150192260742, 6.8198676109313965, 6.69254732131958, 2.6125729084014893, 2.4182937145233154, 2.063434600830078], [0.0, 3.463080883026123, 6.629215717315674, 8.831369400024414, 5.493372917175293, 11.064920425415039, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 3.6661534309387207, 4.006928443908691, 9.887850761413574, 6.673892021179199, 3.549290895462036, 0.0, 0.011147040873765945, 0.0], [4.426865100860596, 0.0, 0.2495400756597519, 0.0, 3.4512157440185547, 9.79681396484375, 5.889254093170166, 0.9541958570480347, 1.3637784719467163, 0.0, 0.0], [4.880127429962158, 3.6298089027404785, 5.824801445007324, 3.3830056190490723, 3.3666915893554688, 9.794476509094238, 4.105784893035889, 2.5779151916503906, 0.0, 0.0, 2.764674425125122]]"
758,"[[514, 481, 307, 11453, 338, 392, 649, 13122, 82, 198, 198], [5519, 290, 7283, 11153, 286, 262, 2351, 554, 18982, 873, 9072], [2579, 11, 838, 321, 12, 21, 4426, 2365, 2808, 11, 290], [1481, 82, 13, 464, 8024, 4706, 468, 587, 44200, 287, 465], [290, 379, 362, 5868, 290, 807, 5868, 12152, 319, 3502, 357], [422, 3217, 513, 4426, 1566, 1105, 4426, 319, 3321, 0, 198]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 19.274261474609375, 19.136903762817383, 7.123868465423584, 14.254858016967773, 0.0, 0.0], [0.4940042495727539, 0.0, 0.0, 3.6149942874908447, 2.9598212242126465, 17.367448806762695, 0.0, 0.0, 0.0, 0.0, 0.0], [1.208836555480957, 1.5145986080169678, 0.0, 0.5647346377372742, 0.5135039687156677, 14.820581436157227, 0.0, 0.0, 0.0, 0.8112398982048035, 0.0], [0.0, 3.6741504669189453, 5.2843852043151855, 5.848038196563721, 0.0, 11.47607421875, 7.409404277801514, 2.2999792098999023, 0.0, 1.3902156352996826, 0.0], [0.0, 0.0, 8.849156379699707, 0.0, 0.0, 10.809542655944824, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.12846288084983826, 10.629379272460938, 0.0, 0.0, 0.0, 0.0, 0.0]]"
826,"[[17339, 373, 1965, 611, 339, 4987, 351, 1301, 447, 247, 82], [8501, 49194, 531, 339, 561, 1265, 262, 4725, 4765, 4281, 284], [1297, 262, 21821, 326, 339, 4762, 326, 31877, 2728, 373, 6142], [1139, 339, 447, 247, 82, 1804, 1243, 257, 1310, 1643, 10338], [4188, 319, 3431, 20047, 339, 750, 407, 910, 262, 7636, 389], [13799, 11, 531, 339, 318, 5597, 329, 257, 1178, 24072, 618]]","[[0.0, 0.0, 0.0, 0.26037269830703735, 2.1290323734283447, 13.18233585357666, 8.815311431884766, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 2.131462574005127, 5.836972713470459, 11.280362129211426, 4.097814083099365, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.843552589416504, 6.912941932678223, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2.2104644775390625, 0.0, 2.896674156188965, 8.76980209350586, 6.891168594360352, 3.67535400390625, 0.0, 0.0, 3.1897730827331543], [0.0, 0.0, 0.0, 0.0, 0.0, 8.530916213989258, 2.8107614517211914, 7.718214511871338, 2.1601016521453857, 0.17692457139492035, 0.0], [0.0, 0.0, 0.0, 0.0, 2.5546860694885254, 8.115949630737305, 6.751682281494141, 3.5801541805267334, 0.14348556101322174, 0.06621600687503815, 2.8325068950653076]]"
922,"[[447, 251, 198, 198, 32, 16307, 396, 379]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 7.634191513061523, 0.0, 0.0]]"
926,"[[262, 15025, 286, 674, 3592, 355, 262, 2056, 13, 198, 198], [9040, 851, 345, 743, 760, 257, 1178, 286, 606, 475, 314], [38897, 910, 42073, 22571, 389, 1884, 6692, 284, 262, 1263, 2620], [32852, 17670, 357, 43, 10116, 8, 290, 16264, 883, 9131, 23266], [1022, 1301, 290, 262, 13234, 318, 2045, 257, 1310, 7888, 11], [257, 2137, 1049, 1595, 470, 423, 1997, 284, 466, 351, 534]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 6.05090856552124, 3.849660634994507, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.0226285457611084, 1.1987916231155396, 0.3648334741592407, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2899026870727539, 1.3522486686706543, 2.6099092960357666, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.9574018716812134, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.9357131719589233, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.8419718146324158, 1.6770381927490234, 0.0, 0.0, 0.0, 0.15012317895889282, 0.0]]"
934,"[[3035, 743, 6737, 262, 6282, 286, 257, 649, 256, 478, 9229], [516, 2995, 287, 262, 39385, 780, 484, 595, 21780, 656, 2272], [2597, 287, 262, 1339, 11, 543, 2753, 4031, 379, 262, 17387], [336, 1015, 21671, 11, 810, 345, 1183, 307, 1498, 284, 3853], [517, 14486, 20461, 282, 4963, 287, 2274, 4647, 13, 4619, 663], [366, 710, 1523, 2438, 553, 262, 3632, 338, 5361, 1430, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.6648645401000977, 1.4822505712509155, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.7226494550704956, 0.0, 0.0, 0.0, 1.419714093208313, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.287368893623352, 0.0, 0.8316283822059631, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.8708532452583313, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.8001418709754944, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.7656621932983398, 0.0, 0.0, 0.0, 0.0, 0.0]]"
981,"[[262, 3594, 7025, 10873, 3350, 329, 262, 2580, 263, 17528, 0], [262, 881, 12, 45178, 12268, 329, 262, 16304, 284, 3932, 520], [8464, 1717, 342, 854, 41328, 357, 464, 7129, 3226, 10849, 420], [262, 7865, 1622, 286, 6257, 338, 14270, 286, 25939, 319, 262], [27573, 13667, 351, 262, 2650, 286, 9356, 5338, 25, 383, 3943], [1692, 32698, 7369, 513, 19523, 286, 3806, 16235, 468, 3181, 20758]]","[[3.364208459854126, 0.32733476161956787, 2.472676992416382, 2.996229648590088, 3.467034339904785, 20.852537155151367, 11.49467658996582, 0.0, 0.19040314853191376, 6.122733116149902, 1.9053528308868408], [0.0, 0.0, 0.0, 12.967535972595215, 5.189855575561523, 20.441320419311523, 13.77194595336914, 8.312746047973633, 18.35414695739746, 0.5614431500434875, 0.0], [2.789842367172241, 0.0, 0.0, 0.0, 0.0, 19.94061851501465, 6.788101673126221, 2.082700252532959, 0.0, 0.0, 0.0], [6.7455735206604, 12.752397537231445, 3.8485050201416016, 12.498781204223633, 3.6134026050567627, 18.123836517333984, 0.0, 0.0, 0.0, 0.0, 1.3455555438995361], [0.0, 0.0, 11.6805419921875, 7.2513041496276855, 10.701570510864258, 17.361570358276367, 1.9240643978118896, 8.56551456451416, 6.830002307891846, 0.0, 0.0], [6.889578342437744, 5.607524871826172, 1.547871708869934, 1.2045577764511108, 7.345874786376953, 17.059499740600586, 6.381100654602051, 4.730682849884033, 0.0, 0.0, 0.0]]"
1014,"[[8667, 15900, 13, 1992, 5326, 808, 8127, 8155, 262, 4695, 287], [6606, 198, 198, 37849, 7459, 324, 6415, 198, 198, 1, 40]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 17.18091583251953, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.118368148803711, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1071,"[[6025, 18410, 290, 607, 4957, 12, 259, 12, 6270, 379, 262]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 41.448028564453125, 13.205193519592285, 22.69074058532715, 0.0, 0.0, 0.0]]"
1134,"[[7867, 262, 670, 284, 543, 339, 468, 7256, 465, 1204, 13], [286, 39802, 10932, 13, 383, 5085, 286, 30129, 19169, 262, 10939], [262, 7881, 13, 1649, 262, 6538, 6520, 284, 1280, 262, 5003], [284, 4441, 36645, 20652, 13, 314, 836, 447, 247, 83, 1254], [1265, 329, 674, 5128, 290, 356, 1577, 340, 11, 447, 251], [345, 284, 2652, 2739, 11, 345, 9617, 534, 7161, 287, 262]]","[[0.0, 0.0, 0.0, 0.0, 5.0747270584106445, 19.531892776489258, 9.25025749206543, 0.0, 0.0, 0.0, 4.54802942276001], [0.0, 0.0, 0.0, 9.086200714111328, 10.915771484375, 19.310258865356445, 6.061657428741455, 3.584520101547241, 1.1770670413970947, 0.0, 0.0], [0.0, 0.0, 0.0, 8.863982200622559, 3.9490904808044434, 17.54803466796875, 6.228690147399902, 6.215643405914307, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 8.817286491394043, 17.251394271850586, 5.9100518226623535, 0.0, 0.0, 7.575396537780762, 0.8612982034683228], [0.0, 0.0, 0.0, 0.0, 4.9627814292907715, 15.689003944396973, 11.412360191345215, 6.206518650054932, 3.258608341217041, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 15.516019821166992, 0.0, 0.0, 0.0, 0.0, 0.0]]"
